Date,Jet Fuel Spot Price
1/22/2020,1.711
1/23/2020,1.702
1/24/2020,1.665
1/27/2020,1.598
1/28/2020,1.641
1/29/2020,1.62
1/30/2020,1.584
1/31/2020,1.504
2/3/2020,1.45
2/4/2020,1.451
2/5/2020,1.52
2/6/2020,1.553
2/7/2020,1.522
2/10/2020,1.491
2/11/2020,1.5
2/12/2020,1.56
2/13/2020,1.576
2/14/2020,1.591
2/18/2020,1.559
2/19/2020,1.584
2/20/2020,1.583
2/21/2020,1.582
2/24/2020,1.511
2/25/2020,1.466
2/26/2020,1.412
2/27/2020,1.384
2/28/2020,1.381
3/2/2020,1.438
3/3/2020,1.43
3/4/2020,1.438
3/5/2020,1.379
3/6/2020,1.275
3/9/2020,1.039
3/10/2020,1.112
3/11/2020,1.057
3/12/2020,0.945
3/13/2020,0.977
3/16/2020,0.836
3/17/2020,0.838
3/18/2020,0.724
3/19/2020,0.777
3/20/2020,0.716
3/23/2020,0.697
3/24/2020,0.687
3/25/2020,0.692
3/26/2020,0.728
3/27/2020,0.766
3/30/2020,0.725
3/31/2020,0.697
4/1/2020,0.65
4/2/2020,0.705
4/3/2020,0.808
4/6/2020,0.765
4/7/2020,0.729
4/8/2020,0.731
4/9/2020,0.69
4/13/2020,0.707
4/14/2020,0.662
4/15/2020,0.625
4/16/2020,0.653
4/17/2020,0.667
4/20/2020,0.6
4/21/2020,0.453
4/22/2020,0.507
4/23/2020,0.497
4/24/2020,0.453
4/27/2020,0.407
4/28/2020,0.416
4/29/2020,0.485
4/30/2020,0.517
5/1/2020,0.48
5/4/2020,0.503
5/5/2020,0.574
5/6/2020,0.504
5/7/2020,0.518
5/8/2020,0.579
5/11/2020,0.555
5/12/2020,0.629
5/13/2020,0.637
5/14/2020,0.703
5/15/2020,0.725
5/18/2020,0.822
5/19/2020,0.773
5/20/2020,0.824
5/21/2020,0.823
5/22/2020,0.813
5/26/2020,0.813
5/27/2020,0.786
5/28/2020,0.8
5/29/2020,0.856
6/1/2020,0.856
6/2/2020,0.913
6/3/2020,0.878
6/4/2020,0.896
6/5/2020,0.962
6/8/2020,0.938
6/9/2020,0.97
6/10/2020,0.981
6/11/2020,0.921
6/12/2020,0.964
6/15/2020,1.001
6/16/2020,1.049
6/17/2020,1.039
6/18/2020,1.059
6/19/2020,1.063
6/22/2020,1.08
6/23/2020,1.05
6/24/2020,1.001
6/25/2020,1.007
6/26/2020,0.971
6/29/2020,1.006
6/30/2020,1.02
7/1/2020,1.025
7/2/2020,1.04
7/6/2020,1.072
7/7/2020,1.063
7/8/2020,1.067
7/9/2020,1.071
7/10/2020,1.091
7/13/2020,1.066
7/14/2020,1.073
7/15/2020,1.101
7/16/2020,1.068
7/17/2020,1.061
7/20/2020,1.077
7/21/2020,1.119
7/22/2020,1.114
7/23/2020,1.11
7/24/2020,1.112
7/27/2020,1.134
7/28/2020,1.101
7/29/2020,1.117
7/30/2020,1.083
7/31/2020,1.087
8/3/2020,1.095
8/4/2020,1.111
8/5/2020,1.127
8/6/2020,1.127
8/7/2020,1.094
8/10/2020,1.115
8/11/2020,1.122
8/12/2020,1.119
8/13/2020,1.097
8/14/2020,1.097
8/17/2020,1.108
8/18/2020,1.123
8/19/2020,1.094
8/20/2020,1.107
8/21/2020,1.076
8/24/2020,1.11
8/25/2020,1.149
8/26/2020,1.16
8/27/2020,1.105
8/28/2020,1.117
8/31/2020,1.104
9/1/2020,1.104
9/2/2020,1.071
9/3/2020,1.049
9/4/2020,1.041
9/8/2020,0.978
9/9/2020,1.005
9/10/2020,0.959
9/11/2020,0.994
9/14/2020,0.988
9/15/2020,0.991
9/16/2020,1.004
9/17/2020,1.041
9/18/2020,1.031
9/21/2020,0.986
9/22/2020,0.956
9/23/2020,0.953
9/24/2020,0.981
9/25/2020,0.99
9/28/2020,1.005
9/29/2020,0.968
9/30/2020,1.038
10/1/2020,1.003
10/2/2020,0.96
10/5/2020,1.028
10/6/2020,1.067
10/7/2020,1.058
10/8/2020,1.087
10/9/2020,1.095
10/12/2020,1.062
10/13/2020,1.064
10/14/2020,1.092
10/15/2020,1.088
10/16/2020,1.076
10/19/2020,1.077
10/20/2020,1.082
10/21/2020,1.038
10/22/2020,1.054
10/23/2020,1.049
10/26/2020,1.024
10/27/2020,1.054
10/28/2020,1.009
10/29/2020,0.986
10/30/2020,0.987
11/2/2020,1.016
11/3/2020,1.037
11/4/2020,1.07
11/5/2020,1.074
11/6/2020,1.053
11/9/2020,1.123
11/10/2020,1.154
11/11/2020,1.145
11/12/2020,1.126
11/13/2020,1.103
11/16/2020,1.107
11/17/2020,1.106
11/18/2020,1.132
11/19/2020,1.151
11/20/2020,1.185
11/23/2020,1.189
11/24/2020,1.246
11/25/2020,1.264
11/30/2020,1.239
12/1/2020,1.231
12/2/2020,1.251
12/3/2020,1.295
12/4/2020,1.282
12/7/2020,1.286
12/8/2020,1.295
12/9/2020,1.281
12/10/2020,1.306
12/11/2020,1.314
12/14/2020,1.338
12/15/2020,1.346
12/16/2020,1.35
12/17/2020,1.373
12/18/2020,1.388
12/21/2020,1.35
12/22/2020,1.324
12/23/2020,1.363
12/24/2020,1.36
12/28/2020,1.343
12/29/2020,1.353
12/30/2020,1.355
12/31/2020,1.34
1/4/2021,1.312
1/5/2021,1.376
1/6/2021,1.371
1/7/2021,1.38
1/8/2021,1.424
1/11/2021,1.412
1/12/2021,1.463
1/13/2021,1.462
1/14/2021,1.473
1/15/2021,1.433
1/19/2021,1.443
1/20/2021,1.442
1/21/2021,1.444
1/22/2021,1.421
1/25/2021,1.464
1/26/2021,1.409
1/27/2021,1.424
1/28/2021,1.418
1/29/2021,1.417
2/1/2021,1.454
2/2/2021,1.484
2/3/2021,1.505
2/4/2021,1.521
2/5/2021,1.527
2/8/2021,1.567
2/9/2021,1.569
2/10/2021,1.569
2/11/2021,1.554
2/12/2021,1.581
2/16/2021,1.632
2/17/2021,1.659
2/18/2021,1.624
2/19/2021,1.618
2/22/2021,1.671
2/23/2021,1.717
2/24/2021,1.754
2/25/2021,1.729
2/26/2021,1.682
3/1/2021,1.645
3/2/2021,1.636
3/3/2021,1.655
3/4/2021,1.719
3/5/2021,1.769
3/8/2021,1.71
3/9/2021,1.702
3/10/2021,1.722
3/11/2021,1.76
3/12/2021,1.76
3/15/2021,1.748
3/16/2021,1.728
3/17/2021,1.686
3/18/2021,1.579
3/19/2021,1.622
3/22/2021,1.633
3/23/2021,1.54
3/24/2021,1.645
3/25/2021,1.573
3/26/2021,1.604
3/29/2021,1.61
3/30/2021,1.588
3/31/2021,1.571
4/1/2021,1.624
4/5/2021,1.582
